str_address,int_metry,int_cena,str_url,str_typ
"Kotlaska, Praha 8 - Libeň",Prodej bytu 3+kk 55 m²,5 650 000 Kč,https://www.sreality.cz//detail/prodej/byt/3+kk/praha-liben-kotlaska/2236415068,Prodej bytu 3+kk 55 m²
"Veverkova, Praha 7 - Holešovice",Prodej bytu 2+1 46 m²,4 990 000 Kč,https://www.sreality.cz//detail/prodej/byt/2+1/praha-holesovice-veverkova/3050102620,Prodej bytu 2+1 46 m²
"Poznaňská, Praha 8 - Bohnice",Prodej bytu 3+kk 63 m²,4 590 000 Kč,https://www.sreality.cz//detail/prodej/byt/3+kk/praha-bohnice-poznanska/2848513116,Prodej bytu 3+kk 63 m²
"U Sluncové, Praha 8 - Karlín",Prodej bytu 3+kk 76 m²,5 950 000 Kč,https://www.sreality.cz//detail/prodej/byt/3+kk/praha-karlin-u-sluncove/3211852892,Prodej bytu 3+kk 76 m²
"Zenklova, Praha 8 - Libeň",Prodej bytu 3+kk 76 m²,5 500 000 Kč,https://www.sreality.cz//detail/prodej/byt/3+kk/praha-liben-zenklova/719162460,Prodej bytu 3+kk 76 m²
"Chlumčanského, Praha 8 - Libeň",Prodej bytu 2+1 56 m²,5 300 000 Kč,https://www.sreality.cz//detail/prodej/byt/2+1/praha-liben-chlumcanskeho/3756170332,Prodej bytu 2+1 56 m²
"Hlivická, Praha 8 - Bohnice",Prodej bytu 3+kk 72 m²,4 990 000 Kč,https://www.sreality.cz//detail/prodej/byt/3+kk/praha-bohnice-hlivicka/1766088540,Prodej bytu 3+kk 72 m²
"Molákova, Praha - Karlín",Prodej bytu 3+kk 58 m²,5 500 000 Kč,https://www.sreality.cz//detail/prodej/byt/3+kk/praha-karlin-molakova/551841628,Prodej bytu 3+kk 58 m²
"Bubenská, Praha 7 - Holešovice",Prodej bytu 2+1 63 m²,5 200 000 Kč,https://www.sreality.cz//detail/prodej/byt/2+1/praha-holesovice-bubenska/3849535324,Prodej bytu 2+1 63 m²
"Dělnická, Praha 7 - Holešovice",Prodej bytu 2+1 38 m²,5 800 000 Kč,https://www.sreality.cz//detail/prodej/byt/2+1/praha-holesovice-delnicka/2615914332,Prodej bytu 2+1 38 m²
"Klíčany, Klíčany",64 m2,1 142 500 Kč,https://www.maxima.cz/nemovitosti/b50070015/,Prodej bytu 2 + kk
"Pacov, Sídliště Míru",68 m2,2 090 000 Kč,https://www.maxima.cz/nemovitosti/b50070903/,Prodej bytu 3 + 1
"Olomouc, Nový Svět, Ručilova",54 m2,2 520 000 Kč,https://www.maxima.cz/nemovitosti/b50071200/,Prodej bytu 2 + 1
"Praha 9, Černý Most, Vašátkova",81 m2,2 760 000 Kč,https://www.maxima.cz/nemovitosti/b50070962/,Prodej bytu 3 + 1
"Příbram, Příbram I, Plzeňská",73 m2,2 810 320 Kč,https://www.maxima.cz/nemovitosti/b50070656/,Prodej bytu 3 + 1
"Tursko, Nová",80 m2,2 829 900 Kč,https://www.maxima.cz/nemovitosti/b50071309/,Prodej bytu 3 + 1
"Praha 3, Žižkov, Biskupcova",38 m2,3 190 000 Kč,https://www.maxima.cz/nemovitosti/b50070526/,Prodej bytu 1 + 1
"Praha 4, Kamýk, Otradovická",36 m2,3 190 000 Kč,https://www.maxima.cz/nemovitosti/b50071360/,Prodej bytu 1 + kk
"Kutná Hora, Šipší, 17. listopadu",74 m2,3 350 000 Kč,https://www.maxima.cz/nemovitosti/b50070461/,Prodej bytu 3 + 1
"Beroun, Beroun-Město, Tyršova",64 m2,3 590 000 Kč,https://www.maxima.cz/nemovitosti/b50070744/,Prodej bytu 4 + kk
"Praha 5, Hlubočepy, Werichova",42 m2,3 692 000 Kč,https://www.maxima.cz/nemovitosti/b50071262/,Prodej bytu 2 + kk
"Praha 5, Stodůlky, Sezemínská",42 m2,3 879 080 Kč,https://www.maxima.cz/nemovitosti/b50071307/,Prodej bytu 2 + kk
"Praha 10, Dolní Měcholupy, Honzíkova",44 m2,3 691 215 Kč,https://www.maxima.cz/nemovitosti/b50071219/,Prodej bytu 1 + kk
"Praha 6, Břevnov, Radimova",49 m2,3 790 000 Kč,https://www.maxima.cz/nemovitosti/b50071077/,Prodej bytu 1 + kk
